"","X","pid","age","gendermale","dispatch.Dispatch","qg12","qg10Yes","qg1001","qg901","qg702","qn4003Yes","qg401","qg406","qg15","qn10025","qn6011","qn6014","qn6018","qea0同居","qea0在婚","qea0未婚","qea0离婚","qp605.公费治疗","qp605.城镇居民","qp605.城镇治疗","qp605.新型农村","qp605.补充医疗","qu201Yes","qu202Yes","qu802","qu702","w01","kwa2_b_1不喜欢学校","kwa2_b_1学业成绩","kwa2_b_1经济困难","kwa2_b_1身体健康","qn203Yes","qn4001Yes","qn201_b_1","qn202"
"1","1","100051502",15.0016973811833,1,0,51454.3545454545,"1",522.593788819876,263.699100572363,-627.965559655597,"0","4","4","0","7","10","5",1.38727780991276,"0","1","0","0","0","0","1","0","0","1","1","5","4","5","0","0","0","0","0","0",-0.159057795046139,-2.49129213483146
"2","2","100160601",-7.99830261881668,1,0,51454.3545454545,"1",657.593788819876,763.699100572363,1372.0344403444,"0","4","4","2","3","6","7",-0.287472302259585,"0","1","0","0","0","0","1","0","0","1","1","5","1","7","0","0","0","0","0","0",0.840942204953861,0.50870786516854
"3","3","100551551",-8.99830261881668,0,0,-18545.6454545455,"0",-177.406211180124,-336.300899427637,-1427.9655596556,"0","4","4","1","3","7","5",0.549902753826586,"0","1","0","0","0","0","1","0","0","1","1","4","3","7","1","0","0","0","0","0",-1.15905779504614,-1.49129213483146
"4","4","100744601",-5.99830261881668,0,0,43454.3545454545,"1",152.593788819876,-126.300899427637,-1227.9655596556,"1","4","4","0","10","3","4",-0.70615983030267,"0","1","0","0","0","0","1","0","0","1","1","5","1","7","0","0","0","0","0","0",4.84094220495386,2.50870786516854
"5","5","103465551",-4.99830261881668,0,1,1454.35454545455,"1",-477.406211180124,-536.300899427637,2372.0344403444,"1","4","4","0","5","5","8",0.549902753826586,"0","1","0","0","1","0","0","0","0","1","0","5","1","7","0","0","0","0","0","0",-2.15905779504614,2.50870786516854
"6","6","103788501",-5.99830261881668,0,0,-28545.6454545455,"0",72.5937888198758,-316.300899427637,-1127.9655596556,"0","4","4","0","5","8","8",0.968590281869671,"0","1","0","0","0","0","1","0","0","1","1","4","1","7","0","0","0","0","0","0",-1.15905779504614,-1.49129213483146
"7","7","106561501",-8.99830261881668,0,0,61454.3545454545,"1",422.593788819876,-436.300899427637,-627.965559655597,"1","3","4","0","5","7","5",-0.287472302259585,"0","1","0","0","0","0","1","0","0","1","1","5","1","7","0","0","0","0","0","0",-2.15905779504614,2.50870786516854
"8","8","107435501",6.00169738118332,0,0,1454.35454545455,"0",-327.406211180124,-436.300899427637,-1227.9655596556,"0","3","3","0","3","10","10",-1.54353488638884,"0","1","0","0","0","0","0","1","0","1","0","1","7","4","0","0","1","0","0","0",1.84094220495386,2.50870786516854
"9","9","107619553",-3.99830261881668,1,0,11454.3545454545,"0",-337.406211180124,-436.300899427637,-627.965559655597,"0","3","3","0","0","5","5",-0.70615983030267,"0","1","0","0","0","0","0","1","0","1","0","5","7","4","0","0","1","0","0","0",-2.15905779504614,-3.49129213483146
"10","10","108476551",-4.99830261881668,1,0,79454.3545454546,"1",522.593788819876,563.699100572363,-627.965559655597,"1","2","4","0","5","7","0",0.1312152257835,"0","1","0","0","0","0","1","0","0","1","1","4","1","7","0","0","0","0","0","0",-2.15905779504614,1.50870786516854
"11","11","109606501",-6.99830261881668,1,0,73454.3545454546,"1",-127.406211180124,-196.300899427637,-1127.9655596556,"0","4","4","0","5","7","7",0.968590281869671,"0","1","0","0","0","0","1","0","0","1","1","5","1","6","0","0","0","0","0","0",-0.159057795046139,-2.49129213483146
"12","12","109849551",-9.99830261881668,1,0,-20945.6454545455,"1",122.593788819876,-236.300899427637,-627.965559655597,"0","4","4","1","5","8","5",-1.12484735834576,"0","1","0","0","0","0","1","0","0","1","1","5","1","7","0","0","0","0","0","0",-1.15905779504614,2.50870786516854
"13","13","109849552",14.0016973811833,1,0,-15545.6454545455,"1",272.593788819876,163.699100572363,2372.0344403444,"1","2","4","0","5","9","8",1.38727780991276,"0","1","0","0","0","0","1","0","0","1","1","5","1","6","0","0","0","0","0","1",0.840942204953861,2.50870786516854
"14","14","110006101",21.0016973811833,1,0,11454.3545454545,"1",-77.4062111801242,263.699100572363,-1177.9655596556,"1","4","4","0","5","7","5",-0.287472302259585,"0","1","0","0","0","1","0","0","0","0","0","3","2","5","0","0","0","0","0","0",1.84094220495386,2.50870786516854
