"","pid","gendermale","dispatch.Dispatch","qg10Yes","qn4003Yes","qea0同居","qea0在婚","qea0未婚","qea0离婚","qp605.公费治疗","qp605.城镇居民","qp605.城镇治疗","qp605.新型农村","qp605.补充医疗","qu201Yes","qu202Yes","kwa2_b_1不喜欢学校","kwa2_b_1学业成绩","kwa2_b_1经济困难","kwa2_b_1身体健康","qn203Yes","qn4001Yes","age","qg12","qg1001","qg901","qg702","qg401","qg406","qg15","qn10025","qn6011","qn6014","qn6018","qu802","qu702","w01","qn201_b_1","qn202"
"1","100051502",1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1.28823686753998,1.38320564495165,1.80076881346591,0.620848783617774,0.635957045926592,0.649292608072888,0.391385225604079,-0.379564562524518,0.919902463004866,1.19060565312306,-0.898655592238321,1.38726438652133,0.800369525947352,0.29422575472174,1.254733436645,-0.0600933018152066,-0.862049090180097
"2","100160601",1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,-0.686836165901148,1.38320564495165,2.19433320565987,1.52590687675976,1.29437270754671,0.649292608072888,0.391385225604079,4.38550166533275,-0.765427504757047,-0.455269722215749,0.0412520066434532,-0.288382777574434,0.800369525947352,-0.838369465383228,1.254733436645,0.32058991890048,0.232386142627308
"3","100551551",0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,-0.772708906485545,-0.45291217729175,-0.414852949996384,-0.46522092815261,-0.549191144989621,0.649292608072888,0.391385225604079,2.00296855140412,-0.765427504757047,-0.0438008783810463,-0.898655592238321,0.549440804473446,-0.000388340381342474,-0.0833059853132493,1.254733436645,-0.440776522530893,-0.497237345910962
"4","100744601",0,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,-0.515090684732354,1.17336360812383,0.722110849675058,0.530342974303575,-0.0224586156935262,0.649292608072888,0.391385225604079,-0.379564562524518,2.1838999388263,-1.68967625371986,-1.36860939167921,-0.707294568598374,0.800369525947352,-0.838369465383228,1.254733436645,1.84332280176323,0.962009631165578
"5","103465551",0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,-0.429217944147957,0.0716929147777928,-1.11452298056343,-0.827244165409405,1.95278836916683,0.649292608072888,0.391385225604079,-0.379564562524518,0.0772374791239092,-0.866738566050452,0.51120580608434,0.549440804473446,0.800369525947352,-0.838369465383228,1.254733436645,-0.82145974324658,0.962009631165578
"6","103788501",0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,-0.515090684732354,-0.715214723326522,0.488887506152711,-0.429018604426931,-0.15414174801755,0.649292608072888,0.391385225604079,-0.379564562524518,0.0772374791239092,0.367667965453656,0.51120580608434,0.968352595497386,-0.000388340381342474,-0.838369465383228,1.254733436645,-0.440776522530893,-0.497237345910962
"7","106561501",0,0,1,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,-0.772708906485545,1.64550819098642,1.50923963406298,-0.646232546781007,0.635957045926592,-0.384561722310352,0.391385225604079,-0.379564562524518,0.0772374791239092,-0.0438008783810463,-0.898655592238321,-0.288382777574434,0.800369525947352,-0.838369465383228,1.254733436645,-0.82145974324658,0.962009631165578
"8","107435501",0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0.51538220228041,0.0716929147777928,-0.385700032056091,-0.646232546781007,-0.351666446503585,-0.384561722310352,-0.840731316679297,-0.379564562524518,-0.765427504757047,1.19060565312306,1.45111340496611,-1.54511815064626,-2.40266193936743,1.42682097482671,-0.866551351298694,0.701273139616167,0.962009631165578
"9","107619553",1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,-0.34334520356356,0.333995460812564,-0.531464621757558,-0.646232546781007,-0.0224586156935262,-0.384561722310352,-0.840731316679297,-0.379564562524518,-2.02942498057848,-0.866738566050452,-0.898655592238321,-0.707294568598374,0.800369525947352,1.42682097482671,-0.866551351298694,-0.82145974324658,-1.22686083444923
"10","108476551",1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,-0.429217944147957,2.11765277384901,1.80076881346591,1.16388363950297,-0.0224586156935262,-1.41841605269359,0.391385225604079,-0.379564562524518,0.0772374791239092,-0.0438008783810463,-3.24842458944276,0.130529013449506,-0.000388340381342474,-0.838369465383228,1.254733436645,-0.82145974324658,0.597197886896443
"11","109606501",1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,-0.600963425316751,1.96027124622815,-0.0941708526531567,-0.211804662072854,-0.351666446503585,0.649292608072888,0.391385225604079,-0.379564562524518,0.0772374791239092,-0.0438008783810463,0.0412520066434532,0.968352595497386,0.800369525947352,-0.838369465383228,0.547638507330438,-0.0600933018152066,-0.862049090180097
"12","109849551",1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,-0.858581647069942,-0.515864788340095,0.634652095854178,-0.284209309524213,0.635957045926592,0.649292608072888,0.391385225604079,2.00296855140412,0.0772374791239092,0.367667965453656,-0.898655592238321,-1.12620635962231,0.800369525947352,-0.838369465383228,1.254733436645,-0.440776522530893,0.962009631165578
"13","109849552",1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1.20236412695559,-0.374221413481319,1.07194586495858,0.439837164989377,1.95278836916683,-1.41841605269359,0.391385225604079,-0.379564562524518,0.0772374791239092,0.779136809288359,0.51120580608434,1.38726438652133,0.800369525947352,-0.838369465383228,0.547638507330438,0.32058991890048,0.962009631165578
"14","110006101",1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1.80347331104637,0.333995460812564,0.0515937370483102,0.620848783617774,-0.384587229584591,0.649292608072888,0.391385225604079,-0.379564562524518,0.0772374791239092,-0.0438008783810463,-0.898655592238321,-0.288382777574434,-0.801146206710037,-0.460837725348238,-0.159456421984128,0.701273139616167,0.232386142627308
"15","110009102",1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,2.06109153279956,-0.547341093864268,0.477226338976594,-0.0126918815816167,0.635957045926592,0.649292608072888,0.391385225604079,-0.379564562524518,-0.765427504757047,0.779136809288359,-0.428701792797434,-0.288382777574434,-0.801146206710037,-0.838369465383228,0.547638507330438,1.84332280176323,0.962009631165578
"16","110009107",1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,-0.686836165901148,1.12090309891688,0.0224408191080168,-0.284209309524213,-0.351666446503585,-0.384561722310352,-0.840731316679297,-0.379564562524518,0.0772374791239092,0.779136809288359,-1.36860939167921,-1.12620635962231,-0.000388340381342474,-0.838369465383228,1.254733436645,-0.82145974324658,0.962009631165578
"17","110026101",0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0.343636721111616,2.95702092116028,-0.0591873511248047,-0.193703500210014,-0.0224586156935262,0.649292608072888,0.391385225604079,-0.379564562524518,1.34123495494534,0.367667965453656,-0.428701792797434,0.549440804473446,0.800369525947352,-0.838369465383228,0.547638507330438,-0.0600933018152066,-0.132425601641827
"18","110026102",1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0.687127683449204,4.00623110529937,-0.239935442354624,2.79298820715854,-0.450428795746603,0.649292608072888,0.391385225604079,-0.379564562524518,0.498569971064387,-0.455269722215749,-0.898655592238321,0.130529013449506,0.800369525947352,-0.838369465383228,1.254733436645,1.08195636033185,0.962009631165578
"19","110043101",1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1.80347331104637,-0.321760904274364,-0.0941708526531567,-0.284209309524213,-0.0224586156935262,0.649292608072888,0.391385225604079,-0.379564562524518,0.0772374791239092,1.19060565312306,1.45111340496611,1.38726438652133,-2.40266193936743,1.42682097482671,-0.866551351298694,-0.0600933018152066,-0.132425601641827
"20","110043102",0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0.687127683449204,-0.610293704912613,-0.531464621757558,-0.175602338347174,-0.549191144989621,0.649292608072888,0.391385225604079,-0.379564562524518,-1.608092488638,0.367667965453656,0.51120580608434,0.549440804473446,0.800369525947352,-0.838369465383228,-0.866551351298694,-0.82145974324658,0.962009631165578
"21","110043107",1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,-1.11619986882313,0.596298006847336,1.36347504436151,0.675152269206293,0.635957045926592,0.649292608072888,0.391385225604079,-0.379564562524518,0.0772374791239092,0.367667965453656,-3.24842458944276,0.549440804473446,0.800369525947352,1.42682097482671,0.547638507330438,-0.440776522530893,-0.497237345910962
"22","110050103",1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0860184993584251,0.0192324055708385,0.343122916451244,0.620848783617774,-0.0224586156935262,-0.384561722310352,-0.840731316679297,-0.379564562524518,-2.02942498057848,-1.27820740988515,-0.898655592238321,-0.707294568598374,-0.801146206710037,1.42682097482671,-0.159456421984128,-0.82145974324658,-0.497237345910962
"23","110051104",0,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,-0.429217944147957,-0.190609631256979,-0.531464621757558,-0.284209309524213,-0.219983314179562,-0.384561722310352,0.391385225604079,-0.379564562524518,0.0772374791239092,1.19060565312306,0.51120580608434,-0.288382777574434,0.800369525947352,-0.838369465383228,-0.159456421984128,-0.0600933018152066,0.962009631165578
"24","110060102",0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,2.66220071689034,-1.0824382877752,-0.726789171957523,-0.827244165409405,-0.351666446503585,-0.384561722310352,0.391385225604079,-0.379564562524518,-1.18675999669753,0.367667965453656,-1.8385631911201,-0.707294568598374,0.800369525947352,1.42682097482671,-0.866551351298694,0.32058991890048,-0.497237345910962
"25","110060103",0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0.0860184993584251,0.858600552882107,0.926181275257112,0.439837164989377,1.29437270754671,0.649292608072888,0.391385225604079,-0.379564562524518,-0.765427504757047,1.19060565312306,1.45111340496611,1.38726438652133,0.800369525947352,-0.838369465383228,0.547638507330438,-0.440776522530893,-1.22686083444923
"26","110062531",0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,-0.515090684732354,-0.536848992022877,-0.117493187005391,-0.199133848768866,-0.285824880341574,0.649292608072888,0.391385225604079,-0.379564562524518,-1.18675999669753,1.19060565312306,0.51120580608434,1.38726438652133,0.800369525947352,-0.838369465383228,-0.159456421984128,-0.82145974324658,-1.22686083444923
