"","pid","qa001b","gender","dispatch","qg12","qg10","qg1001","qg901","qg702","qn4003","qg401","qg406","qg15","qn10025","qn6011","qn6014","qn6018","qea0","qp605","qu201","qu202","qu802","qu702","w01","kwa2_b_1","qn203","qn4001","qn201_b_1","qn202"
"1",100051502,NA,1,"Contract",1e+05,1,1000,800,NA,5,4,4,78,7,10,5,10,2,"城镇治疗",1,1,5,4,NA,NA,5,NA,2,2
"2",100160601,NA,1,"Contract",1e+05,1,1135,1300,3000,5,4,4,3,3,6,7,6,2,"城镇治疗",1,1,5,1,7,NA,5,5,3,5
"3",100551551,NA,0,"Contract",30000,5,NA,200,200,5,4,4,2,3,7,5,8,2,"城镇治疗",1,1,4,3,7,NA,5,5,1,3
"4",100744601,NA,0,"Contract",92000,1,630,NA,NA,1,4,4,78,10,3,4,5,2,"城镇治疗",1,1,5,1,7,NA,5,5,7,7
"5",103465551,NA,0,"Dispatch",50000,1,0,0,4000,1,4,4,78,5,5,8,8,2,"公费治疗",1,5,5,1,7,NA,5,5,0,7
"6",103788501,NA,0,"Contract",20000,5,NA,220,NA,5,4,4,78,5,8,8,9,2,"城镇治疗",1,1,4,1,7,NA,5,NA,1,3
"7",106561501,NA,0,"Contract",110000,1,900,100,NA,1,3,4,78,5,7,5,6,2,"城镇治疗",1,1,5,1,7,NA,5,5,0,7
"8",107435501,NA,0,"Contract",50000,5,NA,NA,NA,5,3,3,78,3,10,10,3,2,"新型农村",1,5,1,7,4,NA,5,5,4,7
"9",107619553,NA,1,"Contract",60000,5,NA,100,1000,5,3,3,78,0,5,5,5,2,"新型农村",1,5,5,7,4,NA,5,5,0,1
"10",108476551,NA,1,"Contract",128000,1,1000,1100,1000,1,2,4,78,5,7,0,7,2,"城镇治疗",1,1,4,1,7,NA,5,NA,0,6
"11",109606501,NA,1,"Contract",122000,1,350,340,NA,5,4,4,79,5,7,7,9,2,"城镇治疗",1,1,5,1,6,NA,5,NA,2,2
"12",109849551,NA,1,"Contract",27600,1,600,300,NA,5,4,4,1,5,8,5,4,2,"城镇治疗",1,1,5,1,7,NA,5,NA,1,7
"13",109849552,NA,1,"Contract",33000,1,750,700,4000,1,2,4,78,5,9,8,10,2,"城镇治疗",1,1,5,1,6,NA,5,1,3,7
"14",110006101,NA,1,"Contract",60000,1,400,800,NA,1,4,4,78,5,7,5,6,2,"城镇居民",5,5,3,NA,NA,NA,NA,NA,4,NA
"15",110009102,NA,1,"Contract",26400,1,NA,NA,NA,1,4,4,78,3,9,6,6,2,"城镇治疗",5,1,3,NA,NA,NA,5,5,7,7
"16",110009107,NA,1,"Contract",90000,5,NA,300,500,5,3,3,78,5,9,4,4,1,"城镇治疗",1,1,4,1,7,NA,1,5,0,7
"17",110026101,NA,0,"Contract",160000,5,NA,350,NA,5,4,4,78,8,8,6,8,2,"城镇治疗",1,1,5,1,6,NA,5,5,2,4
